13012, 5136-SB-0191, 0, 0, 2, 1
13012, 5136-SB-0192, 0, 0, 1, 1
13014, 5136-SB-1161, 5136-SB-0288, 5136-SB-0287, 1, 2
13014, 5136-SB-0287, 0, 0, 2, 1
13014, 5136-SB-0288, 0, 0, 1, 1
13047, 5136-SB-1100, 5136-SB-1102, 5136-SB-1101, 2, 2
13047, 5136-SB-1101, 0, 0, 2, 1
13047, 5136-SB-1102, 0, 0, 1, 1
14016, 5136-SB-0202, 0, 0, 1, 2
14016, 5136-SB-0204, 0, 0, 1, 1
14018, 5136-SB-1153, 5136-SB-0207, 5136-SB-0206, 1, 2
14018, 5136-SB-0206, 0, 0, 2, 1
14018, 5136-SB-0207, 0, 0, 1, 1
14020, 5136-SB-1331, 0, 0, nan, 2
14020, 5136-SB-1298, 0, 0, 2, 1
14020, 5136-SB-1154, 0, 0, 1, 1
14021, 5136-SB-1158, 5136-SB-0282, 5136-SB-0281, 1, 2
14021, 5136-SB-0281, 0, 0, 2, 1
14021, 5136-SB-0282, 0, 0, 1, 1
14022, 5136-SB-0211, 5136-SB-0213, 5136-SB-0212, 1, 2
14022, 5136-SB-0212, 0, 0, 2, 1
14022, 5136-SB-0213, 0, 0, 1, 1
14023, 5136-SB-0214, 5136-SB-0216, 5136-SB-0215, 1, 2
14023, 5136-SB-0215, 0, 0, 2, 1
14023, 5136-SB-0216, 0, 0, 1, 1
14026, 5136-SB-0223, 5136-SB-0225, 5136-SB-0224, 1, 2
14026, 5136-SB-0224, 0, 0, 2, 1
14026, 5136-SB-0225, 0, 0, 1, 1
14027, 5136-SB-1155, 5136-SB-0228, 5136-SB-0227, 1, 2
14027, 5136-SB-0227, 0, 0, 2, 1
14027, 5136-SB-0228, 0, 0, 1, 1
14029, 5136-SB-0232, 5136-SB-0234, 5136-SB-0233, 1, 2
14029, 5136-SB-0233, 0, 0, 2, 1
14029, 5136-SB-0234, 0, 0, 1, 1
14030, 5136-SB-0235, 5136-SB-0237, 5136-SB-0236, 1, 2
14030, 5136-SB-0236, 0, 0, 2, 1
14030, 5136-SB-0237, 0, 0, 1, 1
14031, 5136-SB-0238, 5136-SB-0240, 5136-SB-0239, 1, 2
14031, 5136-SB-0239, 0, 0, 2, 1
14031, 5136-SB-0240, 0, 0, 1, 1
14033, 5136-SB-0244, 5136-SB-0246, 5136-SB-0245, 1, 2
14033, 5136-SB-0245, 0, 0, 2, 1
14033, 5136-SB-0246, 0, 0, 1, 1
14034, 5136-SB-0247, 5136-SB-0249, 5136-SB-0248, 1, 2
14034, 5136-SB-0248, 0, 0, 2, 1
14034, 5136-SB-0249, 0, 0, 1, 1
14035, 5136-SB-0250, 0, 0, 1, 2
14035, 5136-SB-0251, 0, 0, 2, 1
14037, 5136-SB-0256, 5136-SB-0258, 5136-SB-0257, 1, 2
14037, 5136-SB-0257, 0, 0, 2, 1
14037, 5136-SB-0258, 0, 0, 1, 1
14050, 5136-SB-0259, 5136-SB-0261, 5136-SB-0260, 1, 2
14050, 5136-SB-0260, 0, 0, 2, 1
14050, 5136-SB-0261, 0, 0, 1, 1
14052, 5136-SB-1278, 5136-SB-1156, 5136-SB-0263, ?, 2
14052, 5136-SB-0263, 0, 0, 2, 1
14052, 5136-SB-1156, 0, 0, 1, 1
14056, 5136-SB-1279, 5136-SB-0267, 5136-SB-0266, ?, 2
14056, 5136-SB-0266, 0, 0, 2, 1
14056, 5136-SB-0267, 0, 0, 1, 1
14060, 5136-SB-1157, 5136-SB-0273, 5136-SB-0272, 2, 2
14060, 5136-SB-0272, 0, 0, 2, 1
14060, 5136-SB-0273, 0, 0, 1, 1
14071, 5136-SB-0268, 5136-SB-1281, 5136-SB-1280, 1, 2
14071, 5136-SB-1280, 0, 0, 2, 1
14071, 5136-SB-1281, 0, 0, 1, 1
14088, 5136-SB-1136, 5136-SB-1137, 5136-SB-0032, 0, 2
14088, 5136-SB-0032, 0, 0, 2, 1
14088, 5136-SB-1137, 0, 0, 1, 1
14091, 5136-SB-0277, 0, 0, 1, 2
14091, 5136-SB-0279, 0, 0, 1, 1
14099, 5136-SB-0589, 5136-SB-0591, 5136-SB-0590, 2, 2
14099, 5136-SB-0590, 0, 0, 2, 1
14099, 5136-SB-0591, 0, 0, 1, 1
14107, 5136-SB-1282, 0, 0, ?, 2
14107, 5136-SB-1283, 0, 0, 2, 1
14107, 5136-SB-1333, 0, 0, 1, 1
14118, 5136-SB-0283, 5136-SB-1160, 5136-SB-1159, 1, 2
14118, 5136-SB-1159, 0, 0, 2, 1
14118, 5136-SB-1160, 0, 0, 1, 1
14121, 5136-SB-0595, 5136-SB-0597, 5136-SB-0596, 1, 2
14121, 5136-SB-0596, 0, 0, 2, 1
14121, 5136-SB-0597, 0, 0, 1, 1
14127, 5136-SB-1334, 5136-SB-0600, 5136-SB-0599, ?, 2
14127, 5136-SB-0599, 0, 0, 2, 1
14127, 5136-SB-0600, 0, 0, 1, 1
14151, 5136-SB-1150, 5136-SB-1151, 5136-SB-0164, 1, 2
14151, 5136-SB-0164, 0, 0, 2, 1
14151, 5136-SB-1151, 0, 0, 1, 1
14307, 5136-SB-1286, 5136-SB-0594, 5136-SB-0593, ?, 2
14307, 5136-SB-0593, 0, 0, 2, 1
14307, 5136-SB-0594, 0, 0, 1, 1
15000, 5136-SB-0166, 0, 0, 1, 2
15000, 5136-SB-0168, 0, 0, 1, 1
15001, 5136-SB-0169, 5136-SB-1152, 5136-SB-0170, 1, 2
15001, 5136-SB-0170, 0, 0, 2, 1
15001, 5136-SB-1152, 0, 0, 1, 1
15003, 5136-SB-0175, 5136-SB-0177, 5136-SB-0176, 2, 2
15003, 5136-SB-0176, 0, 0, 2, 1
15003, 5136-SB-0177, 0, 0, 1, 1
15004, 5136-SB-0178, 5136-SB-0180, 5136-SB-0179, 1, 2
15004, 5136-SB-0179, 0, 0, 2, 1
15004, 5136-SB-0180, 0, 0, 1, 1
